OBJECTID,Value,Count,Crop2014
1,1,56867.000000000000000,Peaches/Nectarines
2,2,210897.000000000000000,Tomatoes
3,3,31048.000000000000000,Beans (Dry)
4,4,872491.000000000000000,Idle
5,5,650777.000000000000000,Grapes
6,6,463349.000000000000000,"Corn, Sorghum and Sudan"
7,7,669193.000000000000000,Alfalfa and Alfalfa Mixtures
8,8,23640.000000000000000,Pomegranates
9,9,214027.000000000000000,Citrus
10,10,324054.000000000000000,Rice
11,11,812065.000000000000000,Almonds
12,12,266393.000000000000000,Walnuts
13,13,326088.000000000000000,Mixed Pasture
14,14,192288.000000000000000,Miscellaneous Truck Crops
15,15,42837.000000000000000,Avocados
16,16,15334.000000000000000,Bush Berries
17,17,246602.000000000000000,Pistachios
18,18,31665.000000000000000,Cherries
19,19,7826.000000000000000,Dates
20,20,37015.000000000000000,Olives
21,21,35731.000000000000000,Sunflowers
22,22,115218.000000000000000,Miscellaneous Grasses
23,23,31748.000000000000000,Cole Crops
24,24,115838.000000000000000,Miscellaneous Grain and Hay
25,25,27453.000000000000000,Young Perennials
26,26,1543.000000000000000,Greenhouse
27,27,36547.000000000000000,Strawberries
28,28,35236.000000000000000,Carrots
29,29,16083.000000000000000,Miscellaneous Deciduous
30,30,62712.000000000000000,"Plums, Prunes and Apricots"
31,31,49779.000000000000000,"Melons, Squash and Cucumbers"
32,32,163033.000000000000000,Cotton
33,33,7531.000000000000000,Pears
34,34,9439.000000000000000,Peppers
35,35,18136.000000000000000,"Flowers, Nursery and Christmas Tree Farms"
36,36,137766.000000000000000,Wheat
37,37,4283.000000000000000,Miscellaneous Subtropical Fruits
38,38,3571.000000000000000,Kiwis
39,39,42214.000000000000000,Lettuce/Leafy Greens
40,40,3277558.000000000000000,Urban
41,41,11153.000000000000000,Wild Rice
42,42,38107.000000000000000,Onions and Garlic
43,43,31391.000000000000000,Potatoes and Sweet Potatoes
44,44,412229.000000000000000,Managed Wetland
45,45,8297.000000000000000,Apples
46,46,28953.000000000000000,Safflower
47,47,1548.000000000000000,Miscellaneous Field Crops
